"","SRR13836064","SRR13836061","SRR13836096","SRR13836086","SRR13836068","SRR13836072","SRR13836094","SRR13836071","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147"
"GGB9635_SGB15106",0,0.0166094308162077,0,0,0,0,0,2.14565013095647e-05,0.124761045665365,0,0.0133989828515718,0,0,0,3.60312588284176e-05,0.000198161919604378,0.636341149836521
"Coprobacter_secundus",0,0.000274212134088058,0,0,0,0,0,0,0,0.0040921494945786,0.00109716670442664,0,0.0319872966767812,0,0,0,0
"Anaerostipes_hadrus",0.00226237658489386,0,0.00292172921649958,0.00432405225765463,0.0014120158014004,0,0.00183252045814416,0.00377902527409648,0,4.61876101993401e-05,0.00585011510745148,0,0.00121726727656269,0.000629524276022374,0,0.000851371533276623,0.000682182704833997
"Lachnospiraceae_bacterium_AM48_27BH",0.000223421798906232,0.000209726459166162,0,0.00592430788568979,0.000352550901404248,0,0,0,0.000475259863221779,0,0.00243948906234232,0,2.13180136665932e-05,0.0045903807557291,0,0,0.00195421788305863
"Blautia_sp_MSK_20_85",0,0,0,0,0.00109931622661218,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_salyersiae",0.0217008037949253,0.00117858448039448,7.46929471799785e-05,0.0190490037167705,0.00117296919912799,0,0.000120791329751928,0.000619183270330182,1.04985054983314e-05,0,0,0,0,0,0.0256496854168049,0.00130660996042092,0
"Fusicatenibacter_saccharivorans",0.0199861381500731,0,0,0.005966380028241,0.0164775916483616,0,0,0.00245646683077741,0.00204841953233355,1.28739213836301e-05,0.000497282952187779,0,0.0011515648197611,0.00301634949172655,0,0.0253646513077067,0.00121436872483589
"Anaerobutyricum_hallii",0.00489962611609336,0,0,0.00176757760288451,0.000396767347171779,0,0.00150635404760834,0.00407885541220629,1.20036285174964e-05,0,0,0,3.24870476416257e-05,0.000563472863205971,0,0,2.03263451035106e-05
"Clostridium_fessum",0.014674870409528,0.00489145537989227,0,0.00253242551115117,0.000302005006986136,0.000858342792732004,0.00889871458829133,0.0100093339223411,0.0100968057767233,0.00114963969105952,0.0804237820551599,0.00313102039900019,0.0045439272024047,0.00860515771840708,0.000442126322456563,0,0.0043585499673635
"Lachnospira_eligens",0.000172413192505849,0.00183817280637544,0.0211754982703374,0.0187092277557531,0.000178184802261553,0,4.55686602478091e-05,0.00545187070454549,0.000887347345448185,8.60302222038414e-05,0.00277602984578462,0,0.00550750315210928,0.0271605679866092,0,0.0285093505567356,0.00225250474018831
"Clostridium_sp_AF34_10BH",0.0124908960141617,0.000615062487532641,0,0.0366931453525914,0.00262884514968204,0.000684766134959029,2.12802629485239e-05,0.000186926355038592,0.0301786710260724,0,0.0445157405130013,0.000823086418761933,0.00212226434625979,0.00985589445984144,0.00183969005170221,0.0622496061257057,0.000453808033423991
"Eubacterium_sp_AF16_48",0,0,0,0,0.000285429423979178,0,0,0.0102350325941751,0.00871599550692666,0,0,0,0,0,0,0,0
"Lachnospiraceae_bacterium_BX3",0,0,0,0,2.18248216809253e-06,0,0,0,0.00388575218268747,0,0,0,0.000633108007480031,0,0,0.00386043067971501,0.000511456577853943
