"","SRR13836088","SRR13836076","SRR13836083","SRR13836070","SRR13836086","SRR13836068","SRR13836077","SRR13836099","SRR13836098","SRR13836152","SRR13836178","SRR13836143","SRR13836172","SRR13836139"
"GGB80011_SGB15267",0.0193413542262441,0,0.0134069331470243,0,0,0.000107619905350585,0,0,0.00264990098586097,0,0,0.00401694661317736,0.00545735152982093,0
"GGB9767_SGB15385",0,0,0,0,0,0,0,0,0,0,0,0,0.000931619189241735,0
"GGB2653_SGB3574",0.000251129175026793,0,0,0,0,0.00422853619340772,0.0014507257564362,0,0,0,0.000521805743042372,0.000512749512360684,0,0
"Clostridium_sp_AM33_3",0,0.000795439015100876,0,0.00359600804813274,0.00118790276868252,0,0,0,0,0.00255152435616613,0.000162334911452091,0.000472449006981099,0.00145244095885684,0.000233297069359716
"Blautia_massiliensis",0,0.00141605646710028,0.000461274226797138,0.00102808497334187,0.0087333028401712,0.0032192439405231,0.00109940148385795,0.00562899233645271,0.0170875461299331,0,0.00312562328935231,0,0,0.0061887282286493
"GGB9708_SGB15233",0.0836078373110319,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB14025_SGB14906",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lacrimispora_amygdalina",0.000161349017989634,0.00213168495036642,0,0.0112297939192691,0.00191297955958245,0.000799848192580711,0,0,0,0.0191180667255492,0.00303242957186186,0.0010039564664024,0.000294262157863606,0.00122504473686867
"Blautia_glucerasea",0.000652432971076729,0,0,0,0,6.82529620569911e-05,0,0,0,0,0,0.000517322417956106,0,0
"Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agathobaculum_butyriciproducens",0.000337772322832588,0.0221514271922177,0.000531092687165232,0.0405054880042246,0.010716908946783,0.00659646826896622,0.00275358287088908,0.0462488609404215,0.0230039700821043,0.0154252157794993,0.00919929167018453,0.00124899575262527,0.00281386808320948,0.00172171232139556
